Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
dts, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 1.800000, 2.700000, 3.000000, 1.800000, 1.800000, 2.800000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 2.700000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 5.400000, 8.400000, 11.400000, 14.400000, 18.000000, 20.700000, 24.150000, 27.450000, 30.750000, 32.550000, 35.250000, 38.250000, 40.050000, 41.850000, 44.650000, 47.650000, 50.350000, 53.050000, 55.900000, 58.900000, 61.600000, 64.300000, 67.000000, 70.000000, 74.200000, 77.800000, 81.400000, 85.000000, 88.600000, 92.200000, 95.800000, 99.400000, 103.000000, 106.600000
ms, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -2.700000, -3.000000, -3.000000, -3.000000, -3.600000, -2.700000, -3.450000, -3.300000, -3.300000, -1.800000, -2.700000, -3.000000, -1.800000, -1.800000, -2.800000, -3.000000, -2.700000, -2.700000, -2.850000, -3.000000, -2.700000, -2.700000, -2.700000, -3.000000, -4.200000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -5.400000, -8.400000, -11.400000, -14.400000, -18.000000, -20.700000, -24.150000, -27.450000, -30.750000, -32.550000, -35.250000, -38.250000, -40.050000, -41.850000, -44.650000, -47.650000, -50.350000, -53.050000, -55.900000, -58.900000, -61.600000, -64.300000, -67.000000, -70.000000, -74.200000, -77.800000, -81.400000, -85.000000, -88.600000, -92.200000, -95.800000, -99.400000, -103.000000, -106.600000
dist_state_bel, 6.327759, 6.338039, 6.349368, 6.153475, 6.118094, 6.095812, 6.040902, 5.664061, 5.546605, 5.505245, 5.518374, 5.494490, 5.477810, 5.451427, 5.469841, 5.480137, 5.482316, 5.501521, 5.685409, 5.408479, 5.425965, 5.449484, 4.921204, 4.927393, 4.930338, 4.820661, 4.679111, 4.688134, 4.675809, 4.706816, 4.727243, 4.563130, 4.514308, 4.527934, 4.555532

Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
Segments, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
SubSegments, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 3, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Lengths, 0.900000, 0.900000, 1.000000, 1.000000, 1.000000, 1.200000, 0.900000, 1.150000, 1.100000, 1.100000, 0.900000, 0.900000, 1.000000, 0.600000, 0.600000, 1.400000, 1.000000, 0.900000, 0.900000, 0.950000, 1.000000, 0.900000, 0.900000, 0.900000, 1.000000, 1.400000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000
Difficulties (4087), 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
dps, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
v, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
acs, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dt1s, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 2.400000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
dt2s, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
dts, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 2.400000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 5.400000, 8.400000, 11.400000, 14.400000, 16.800000, 19.500000, 22.950000, 26.250000, 29.550000, 32.250000, 34.950000, 37.950000, 39.750000, 41.550000, 45.750000, 48.750000, 51.450000, 54.150000, 57.000000, 60.000000, 62.700000, 64.500000, 67.200000, 70.200000, 74.400000, 78.000000, 81.600000, 85.200000, 88.800000, 92.400000, 96.000000, 99.600000, 103.200000, 106.800000
ms, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -2.700000, -3.000000, -3.000000, -3.000000, -2.400000, -2.700000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -3.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -2.700000, -2.850000, -3.000000, -2.700000, -1.800000, -2.700000, -3.000000, -4.200000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -5.400000, -8.400000, -11.400000, -14.400000, -16.800000, -19.500000, -22.950000, -26.250000, -29.550000, -32.250000, -34.950000, -37.950000, -39.750000, -41.550000, -45.750000, -48.750000, -51.450000, -54.150000, -57.000000, -60.000000, -62.700000, -64.500000, -67.200000, -70.200000, -74.400000, -78.000000, -81.600000, -85.200000, -88.800000, -92.400000, -96.000000, -99.600000, -103.200000, -106.800000
dist_state_bel, 6.327759, 6.333627, 6.366307, 6.250000, 6.230396, 6.225706, 6.158593, 5.787776, 5.650981, 5.570331, 5.605725, 5.586294, 5.578701, 5.553187, 5.579389, 5.600031, 5.609146, 5.623115, 5.707534, 5.509183, 5.506710, 5.532874, 5.020664, 5.033568, 5.058735, 4.898849, 4.720153, 4.734737, 4.759862, 4.769247, 4.761327, 4.561878, 4.519449, 4.540627, 4.570459

