Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
dts, 0.900000, 1.800000, 3.000000, 3.000000, 3.000000, 3.600000, 2.700000, 3.450000, 3.300000, 2.200000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 1.800000, 2.700000, 1.900000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 0.900000, 2.700000, 5.700000, 8.700000, 11.700000, 15.300000, 18.000000, 21.450000, 24.750000, 26.950000, 29.650000, 32.350000, 35.350000, 37.150000, 38.950000, 43.150000, 46.150000, 47.950000, 50.650000, 52.550000, 55.550000, 58.250000, 60.050000, 62.750000, 65.750000, 69.950000, 73.550000, 77.150000, 80.750000, 84.350000, 87.950000, 91.550000, 95.150000, 98.750000, 102.350000
ms, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -0.900000, -1.800000, -3.000000, -3.000000, -3.000000, -3.600000, -2.700000, -3.450000, -3.300000, -2.200000, -2.700000, -2.700000, -3.000000, -1.800000, -1.800000, -4.200000, -3.000000, -1.800000, -2.700000, -1.900000, -3.000000, -2.700000, -1.800000, -2.700000, -3.000000, -4.200000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -0.900000, -2.700000, -5.700000, -8.700000, -11.700000, -15.300000, -18.000000, -21.450000, -24.750000, -26.950000, -29.650000, -32.350000, -35.350000, -37.150000, -38.950000, -43.150000, -46.150000, -47.950000, -50.650000, -52.550000, -55.550000, -58.250000, -60.050000, -62.750000, -65.750000, -69.950000, -73.550000, -77.150000, -80.750000, -84.350000, -87.950000, -91.550000, -95.150000, -98.750000, -102.350000
dist_state_bel, 6.330017, 6.363141, 6.375193, 5.767535, 5.789258, 5.810336, 5.830453, 5.796475, 5.810127, 5.700540, 5.738966, 5.756771, 5.752721, 5.786431, 5.792565, 5.813204, 5.849696, 5.308142, 5.095258, 5.099661, 5.016084, 4.571069, 4.551079, 4.530589, 4.491941, 4.433941, 4.230352, 4.230201, 4.163541, 4.164917, 4.175952, 4.005717, 3.981215, 3.995205, 4.033508

Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
Segments, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
SubSegments, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 3, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Lengths, 0.900000, 0.900000, 1.000000, 1.000000, 1.000000, 1.200000, 0.900000, 1.150000, 1.100000, 1.100000, 0.900000, 0.900000, 1.000000, 0.600000, 0.600000, 1.400000, 1.000000, 0.900000, 0.900000, 0.950000, 1.000000, 0.900000, 0.900000, 0.900000, 1.000000, 1.400000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000
Difficulties (1087), 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
dps, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
v, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
acs, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dt1s, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 1.800000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 2.700000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
dt2s, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
dts, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 1.800000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 2.700000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 5.400000, 8.400000, 11.400000, 14.400000, 18.000000, 19.800000, 23.250000, 26.550000, 29.850000, 32.550000, 35.250000, 38.250000, 40.050000, 41.850000, 46.050000, 49.050000, 51.750000, 54.450000, 57.300000, 60.300000, 63.000000, 65.700000, 68.400000, 71.400000, 75.600000, 79.200000, 82.800000, 86.400000, 90.000000, 93.600000, 97.200000, 100.800000, 104.400000, 108.000000
ms, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -2.700000, -3.000000, -3.000000, -3.000000, -3.600000, -1.800000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -3.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -2.700000, -2.850000, -3.000000, -2.700000, -2.700000, -2.700000, -3.000000, -4.200000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -5.400000, -8.400000, -11.400000, -14.400000, -18.000000, -19.800000, -23.250000, -26.550000, -29.850000, -32.550000, -35.250000, -38.250000, -40.050000, -41.850000, -46.050000, -49.050000, -51.750000, -54.450000, -57.300000, -60.300000, -63.000000, -65.700000, -68.400000, -71.400000, -75.600000, -79.200000, -82.800000, -86.400000, -90.000000, -93.600000, -97.200000, -100.800000, -104.400000, -108.000000
dist_state_bel, 6.330017, 6.364072, 6.397032, 5.774846, 5.788512, 5.812852, 5.832678, 5.782266, 5.766256, 5.722328, 5.735193, 5.753585, 5.762523, 5.932560, 5.932985, 5.952721, 5.970862, 5.291402, 4.965507, 4.960771, 4.823695, 4.321041, 4.288673, 4.240431, 4.199902, 4.140356, 3.810909, 3.846807, 3.759715, 3.791446, 3.825538, 3.712531, 3.717073, 3.738876, 3.779506

