Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
dts, 2.700000, 2.700000, 2.000000, 3.000000, 3.000000, 2.400000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 1.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 1.800000, 0.950000, 3.000000, 2.700000, 1.800000, 2.700000, 2.000000, 2.800000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 5.400000, 7.400000, 10.400000, 13.400000, 15.800000, 18.500000, 21.950000, 25.250000, 28.550000, 31.250000, 33.950000, 34.950000, 36.750000, 38.550000, 42.750000, 45.750000, 48.450000, 50.250000, 51.200000, 54.200000, 56.900000, 58.700000, 61.400000, 63.400000, 66.200000, 69.800000, 73.400000, 77.000000, 80.600000, 84.200000, 87.800000, 91.400000, 95.000000, 98.600000
ms, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -2.700000, -2.000000, -3.000000, -3.000000, -2.400000, -2.700000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -1.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -1.800000, -0.950000, -3.000000, -2.700000, -1.800000, -2.700000, -2.000000, -2.800000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -5.400000, -7.400000, -10.400000, -13.400000, -15.800000, -18.500000, -21.950000, -25.250000, -28.550000, -31.250000, -33.950000, -34.950000, -36.750000, -38.550000, -42.750000, -45.750000, -48.450000, -50.250000, -51.200000, -54.200000, -56.900000, -58.700000, -61.400000, -63.400000, -66.200000, -69.800000, -73.400000, -77.000000, -80.600000, -84.200000, -87.800000, -91.400000, -95.000000, -98.600000
dist_state_bel, 6.989746, 6.992772, 7.005377, 6.806055, 6.783457, 6.747045, 6.728404, 6.356331, 6.259660, 6.279595, 5.674103, 5.701172, 5.143125, 4.862890, 4.884889, 4.458153, 4.514462, 4.069638, 3.878520, 3.865764, 3.784940, 3.769881, 3.790109, 3.818938, 3.849230, 3.670791, 3.383992, 3.418715, 3.455392, 3.479692, 3.492130, 3.175622, 3.136791, 3.188355, 3.225048

Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
Segments, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
SubSegments, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 3, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Lengths, 0.900000, 0.900000, 1.000000, 1.000000, 1.000000, 1.200000, 0.900000, 1.150000, 1.100000, 1.100000, 0.900000, 0.900000, 1.000000, 0.600000, 0.600000, 1.400000, 1.000000, 0.900000, 0.900000, 0.950000, 1.000000, 0.900000, 0.900000, 0.900000, 1.000000, 1.400000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000
Difficulties (3649), 1, 1, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
dps, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
v, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
acs, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
dt1s, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 2.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 1.800000, 1.900000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 2.800000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
dt2s, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
dts, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 2.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 1.800000, 1.900000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 2.800000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 5.400000, 8.400000, 11.400000, 14.400000, 18.000000, 20.700000, 24.150000, 27.450000, 30.750000, 33.450000, 36.150000, 38.150000, 39.950000, 41.750000, 45.950000, 48.950000, 51.650000, 53.450000, 55.350000, 58.350000, 61.050000, 62.850000, 65.550000, 68.550000, 71.350000, 74.950000, 78.550000, 82.150000, 85.750000, 89.350000, 92.950000, 96.550000, 100.150000, 103.750000
ms, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -2.700000, -3.000000, -3.000000, -3.000000, -3.600000, -2.700000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -2.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -1.800000, -1.900000, -3.000000, -2.700000, -1.800000, -2.700000, -3.000000, -2.800000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -5.400000, -8.400000, -11.400000, -14.400000, -18.000000, -20.700000, -24.150000, -27.450000, -30.750000, -33.450000, -36.150000, -38.150000, -39.950000, -41.750000, -45.950000, -48.950000, -51.650000, -53.450000, -55.350000, -58.350000, -61.050000, -62.850000, -65.550000, -68.550000, -71.350000, -74.950000, -78.550000, -82.150000, -85.750000, -89.350000, -92.950000, -96.550000, -100.150000, -103.750000
dist_state_bel, 6.989746, 6.992658, 6.993993, 6.828358, 6.794458, 6.772323, 6.731357, 6.376657, 6.270641, 6.288767, 5.668232, 5.714392, 5.202901, 4.954376, 4.969027, 4.393419, 4.417018, 3.751807, 3.423846, 3.443474, 3.313012, 3.159909, 3.192092, 3.215421, 3.280782, 3.056285, 2.938061, 2.938168, 3.051268, 3.063108, 3.076935, 2.893012, 2.872889, 2.880728, 2.904287

