Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
dts, 2.700000, 1.800000, 3.000000, 3.000000, 3.000000, 2.400000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 1.800000, 2.850000, 2.000000, 2.700000, 2.700000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 4.500000, 7.500000, 10.500000, 13.500000, 15.900000, 18.600000, 22.050000, 25.350000, 28.650000, 31.350000, 34.050000, 37.050000, 38.850000, 40.650000, 44.850000, 47.850000, 50.550000, 52.350000, 55.200000, 57.200000, 59.900000, 62.600000, 65.300000, 68.300000, 72.500000, 76.100000, 79.700000, 83.300000, 86.900000, 90.500000, 94.100000, 97.700000, 101.300000, 104.900000
ms, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -1.800000, -3.000000, -3.000000, -3.000000, -2.400000, -2.700000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -3.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -1.800000, -2.850000, -2.000000, -2.700000, -2.700000, -2.700000, -3.000000, -4.200000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -4.500000, -7.500000, -10.500000, -13.500000, -15.900000, -18.600000, -22.050000, -25.350000, -28.650000, -31.350000, -34.050000, -37.050000, -38.850000, -40.650000, -44.850000, -47.850000, -50.550000, -52.350000, -55.200000, -57.200000, -59.900000, -62.600000, -65.300000, -68.300000, -72.500000, -76.100000, -79.700000, -83.300000, -86.900000, -90.500000, -94.100000, -97.700000, -101.300000, -104.900000
dist_state_bel, 6.994873, 7.030334, 7.065267, 6.496517, 6.501822, 6.514764, 6.550688, 6.484881, 6.502800, 6.532668, 5.910002, 5.952310, 5.520367, 5.300038, 5.317750, 4.874199, 4.870665, 4.885186, 4.955709, 4.699038, 4.740839, 4.787156, 4.097887, 4.098732, 4.108283, 3.936757, 3.773857, 3.793480, 3.906200, 3.912948, 3.927217, 3.721030, 3.694745, 3.706175, 3.729183

Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
Segments, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
SubSegments, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 3, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Lengths, 0.900000, 0.900000, 1.000000, 1.000000, 1.000000, 1.200000, 0.900000, 1.150000, 1.100000, 1.100000, 0.900000, 0.900000, 1.000000, 0.600000, 0.600000, 1.400000, 1.000000, 0.900000, 0.900000, 0.950000, 1.000000, 0.900000, 0.900000, 0.900000, 1.000000, 1.400000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000
Difficulties (739), 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
dps, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
v, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
acs, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
dt1s, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 2.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 2.800000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
dt2s, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
dts, 2.700000, 2.700000, 3.000000, 3.000000, 3.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 2.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 2.800000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 5.400000, 8.400000, 11.400000, 14.400000, 18.000000, 20.700000, 24.150000, 27.450000, 30.750000, 33.450000, 36.150000, 38.150000, 39.950000, 41.750000, 45.950000, 48.950000, 51.650000, 54.350000, 57.200000, 60.200000, 62.900000, 64.700000, 67.400000, 70.400000, 73.200000, 76.800000, 80.400000, 84.000000, 87.600000, 91.200000, 94.800000, 98.400000, 102.000000, 105.600000
ms, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -2.700000, -3.000000, -3.000000, -3.000000, -3.600000, -2.700000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -2.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -2.700000, -2.850000, -3.000000, -2.700000, -1.800000, -2.700000, -3.000000, -2.800000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -5.400000, -8.400000, -11.400000, -14.400000, -18.000000, -20.700000, -24.150000, -27.450000, -30.750000, -33.450000, -36.150000, -38.150000, -39.950000, -41.750000, -45.950000, -48.950000, -51.650000, -54.350000, -57.200000, -60.200000, -62.900000, -64.700000, -67.400000, -70.400000, -73.200000, -76.800000, -80.400000, -84.000000, -87.600000, -91.200000, -94.800000, -98.400000, -102.000000, -105.600000
dist_state_bel, 6.994873, 7.031278, 7.071443, 6.481155, 6.487081, 6.497601, 6.506269, 6.418147, 6.392226, 6.422489, 5.816692, 5.828505, 5.240614, 4.960984, 4.966805, 4.299675, 4.315874, 4.352397, 4.420063, 4.196168, 4.232228, 4.250217, 3.719110, 3.741820, 3.761222, 3.676818, 3.607143, 3.625154, 3.723680, 3.724992, 3.724581, 3.612721, 3.567454, 3.583204, 3.594237

